vin,stock_num,year,make,model,trim,odometer,color_exterior,color_interior,sale_price,url,first_date_seen,last_date_seen,days_in_stock,days_in_stock
5YJ3E1ET7RF782903,L782903A,2024,Tesla,Model 3,Performance,7058,Solid Black,Black,46798,https://www.evauto.com/vehicle/used-2024-tesla-model-3-performance-5yj3e1et7rf782903/,09/09/2026,Available,5,5
5YJ3E1EC3LF642208,T642208,2020,Tesla,Model 3,Performance,58626,Pearl White Multi-coat,White,27489,https://www.evauto.com/vehicle/used-2020-tesla-model-3-performance-5yj3e1ec3lf642208/,09/09/2026,Available,5,5
7SAYGDEF9PF740034,L740034L,2023,Tesla,Model Y,Performance,22962,Red Multi-coat,Black,36199,https://www.evauto.com/vehicle/used-2023-tesla-model-y-performance-7saygdef9pf740034/,09/09/2026,Available,5,5
5YJ3E1EB9NF185138,B185138,2022,Tesla,Model 3,Long Range,114661,Gray,Black,23089,https://evauto.com/vehicle/used-2022-tesla-model-3-long-range-5yj3e1eb9nf185138/,09/09/2026,09/14/2026,5,5
7SAYGDEFXNF406334,B406334,2022,Tesla,Model Y,Performance,35890,Deep Blue Metallic,Black,35999,https://www.evauto.com/vehicle/used-2022-tesla-model-y-performance-7saygdefxnf406334/,09/09/2026,Available,5,5
7SAXCDE58NF350165,B350165,2022,Tesla,Model X,Base,56148,Solid Black,Black,47699,https://evauto.com/vehicle/used-2022-tesla-model-x-base-7saxcde58nf350165/,09/09/2026,09/14/2026,5,5
7SAYGDEE4PF688464,T688464,2023,Tesla,Model Y,Long Range,37352,Red Multi-coat,White,35998,https://www.evauto.com/vehicle/used-2023-tesla-model-y-long-range-7saygdee4pf688464/,09/09/2026,Available,5,5
5YJ3E1EA7PF655192,T655192,2023,Tesla,Model 3,Rwd,40491,Gray,Black,29189,https://www.evauto.com/vehicle/used-2023-tesla-model-3-rwd-5yj3e1ea7pf655192/,09/09/2026,Available,5,5
7SAYGDETXTA681590,T681590,2026,Tesla,Model Y,Performance,1119,Pearl White Multi-coat,Black,59789,https://www.evauto.com/vehicle/used-2026-tesla-model-y-performance-7saygdetxta681590/,09/09/2026,Available,5,5
7SAYGDEF3NF459635,B459635,2022,Tesla,Model Y,Performance,50682,Gray,Black,32489,https://www.evauto.com/vehicle/used-2022-tesla-model-y-performance-7saygdef3nf459635/,09/09/2026,Available,5,5
7SAYGDEE8RA252863,B252863,2024,Tesla,Model Y,Long Range,39220,Gray,Black,38098,https://www.evauto.com/vehicle/used-2024-tesla-model-y-long-range-7saygdee8ra252863/,09/09/2026,Available,5,5
5YJ3E1EB0JF112590,T112590,2018,Tesla,Model 3,Long Range,107627,Deep Blue Metallic,Black,19789,https://www.evauto.com/vehicle/used-2018-tesla-model-3-long-range-5yj3e1eb0jf112590/,09/09/2026,Available,5,5
7SAYGDEE3TF365839,B365839,2026,Tesla,Model Y,Long Range,42999,Black,Black,45989,https://www.evauto.com/vehicle/used-2026-tesla-model-y-long-range-7saygdee3tf365839/,09/09/2026,Available,5,5
5YJ3E1EB5MF847943,T847943,2021,Tesla,Model 3,Long Range,87107,Red Multi-coat,White,25489,https://www.evauto.com/vehicle/used-2021-tesla-model-3-long-range-5yj3e1eb5mf847943/,09/09/2026,Available,5,5
5YJ3E1EB8JF184735,T184735,2018,Tesla,Model 3,Long Range Battery,48715,Black,Black,27399,https://www.evauto.com/vehicle/used-2018-tesla-model-3-long-range-battery-5yj3e1eb8jf184735/,09/09/2026,Available,5,5
5YJYGDEE2MF213341,B213341,2021,Tesla,Model Y,Long Range,97450,Red Multi-coat,Black,25989,https://evauto.com/vehicle/used-2021-tesla-model-y-long-range-5yjygdee2mf213341/,09/09/2026,09/14/2026,5,5
5YJ3E1EA6MF854522,T854522,2021,Tesla,Model 3,Standard Range Plus,92763,Gray,Black,20749,https://www.evauto.com/vehicle/used-2021-tesla-model-3-standard-range-plus-5yj3e1ea6mf854522/,09/09/2026,Available,5,5
7SAYGDEF1PF940213,B940213,2023,Tesla,Model Y,Performance,62941,Solid Black,Black,34498,https://www.evauto.com/vehicle/used-2023-tesla-model-y-performance-7saygdef1pf940213/,09/09/2026,Available,5,5
5YJ3E1EB3KF494423,T494423,2019,Tesla,Model 3,Long Range,82973,Pearl White Multi-coat,White,22989,https://www.evauto.com/vehicle/used-2019-tesla-model-3-long-range-5yj3e1eb3kf494423/,09/09/2026,Available,5,5
7SAYGDEE1RF063894,L063894,2024,Tesla,Model Y,Long Range,36229,Gray,Black,38698,https://www.evauto.com/vehicle/used-2024-tesla-model-y-long-range-7saygdee1rf063894/,09/09/2026,Available,5,5
5YJ3E1EB3PF388447,L388447,2023,Tesla,Model 3,Long Range,83551,Gray,Black,27098,https://www.evauto.com/vehicle/used-2023-tesla-model-3-long-range-5yj3e1eb3pf388447/,09/09/2026,Available,5,5
5YJ3E1EB3JF063076,B063076,2018,Tesla,Model 3,Performance,107764,Gray,Black,21598,https://evauto.com/vehicle/used-2018-tesla-model-3-performance-5yj3e1eb3jf063076/,09/09/2026,09/14/2026,5,5
5YJ3E1EB8LF650070,L650070,2020,Tesla,Model 3,Long Range,56604,Pearl White Multi-coat,Black,26698,https://www.evauto.com/vehicle/used-2020-tesla-model-3-long-range-5yj3e1eb8lf650070/,09/09/2026,Available,5,5
7SAYGDEF6PF853200,T853200,2023,Tesla,Model Y,Performance,101431,Red Multi-coat,Black,29399,https://www.evauto.com/vehicle/used-2023-tesla-model-y-performance-7saygdef6pf853200/,09/09/2026,Available,5,5
7SAYGDEEXPF809272,L809272,2023,Tesla,Model Y,Long Range,21097,Gray,Black,37999,https://evauto.com/vehicle/used-2023-tesla-model-y-long-range-7saygdeexpf809272/,09/09/2026,09/14/2026,5,5
7SAYGDET5TA719839,T719839,2026,Tesla,Model Y,Performance,650,Pearl White Multi-coat,Black,62488,https://www.evauto.com/vehicle/used-2026-tesla-model-y-performance-7saygdet5ta719839/,09/09/2026,Available,5,5
